Time, New Command, Measured EIP, Command EIP, Measured DI, Command DI, Measured EDC, Command EDC, Measured PI, Command PI, Measured LUM, Command LUM, Measured FDS, Command FDS, Measured FDP, Command FDP, Force y, Mx, Force x, M z, M y, Force z
0,0,1.599555,2,0.709096,2,2.367445,2,2.057267,2,1.451398,2,1.791002,2,2.146031,2,0.026749,0.028038,0.029328,0.000967,-0.03964,-0.011602
0.01,0,1.599555,2,0.711802,2,2.398392,2,1.981189,2,1.384639,2,1.786344,2,2.120947,2,0.026105,0.027716,0.02965,0.001611,-0.040607,-0.011924
0.02,0,1.479098,2,0.667146,2,1.912524,2,1.705407,2,1.317879,2,1.49289,2,1.669445,2,0.02546,0.028361,0.02965,0.001611,-0.039963,-0.011602
0.03,0,1.056098,2,0.558887,2,1.216217,2,1.565932,2,1.169525,2,1.173816,2,1.259748,2,0.028038,0.028361,0.027394,0.000967,-0.036095,-0.009991
0.04,0,0.948247,2,0.438449,2,1.166702,2,1.223582,2,1.045897,2,0.894336,2,0.950385,2,0.029327,0.032228,0.021593,0.001611,-0.028361,-0.009668
0.05,0,0.855804,2,0.320717,2,0.857232,2,1.125315,2,0.954412,2,0.766241,2,0.858412,2,0.030617,0.033195,0.017403,0.001934,-0.023849,-0.007735
0.06,0,0.778767,2,0.177274,2,0.835569,2,0.795645,2,0.729408,2,0.661436,2,0.680041,2,0.029327,0.032873,0.013858,0.001611,-0.018692,-0.004834
0.07,0,0.712936,2,0.073075,2,0.714876,2,0.64983,2,0.709627,2,0.614856,2,0.593642,2,0.027394,0.031906,0.011602,0.002256,-0.014825,-0.004834
0.08,0,0.684923,2,0.00406,2,0.61894,2,0.586432,2,0.719518,2,0.575263,2,0.549049,2,0.026105,0.029972,0.009991,0.001289,-0.012891,-0.004512
0.09,0,0.712936,2,-0.006766,2,0.67155,2,0.519864,2,0.778859,2,0.631159,2,0.613152,2,0.02546,0.029328,0.009991,0.002256,-0.012247,-0.003223
0.1,0,0.731145,2,0.028418,2,0.699402,2,0.478655,2,0.825838,2,0.663765,2,0.632661,2,0.024493,0.028038,0.009668,0.001934,-0.012569,-0.003545
0.11,0,0.728344,2,0.035184,2,0.786054,2,0.573752,2,0.862927,2,0.614856,2,0.693976,2,0.023526,0.027716,0.011924,0.001934,-0.012247,-0.002578
0.12,0,0.731145,2,0.028418,2,0.854137,2,0.592772,2,0.969247,2,0.691713,2,0.755291,2,0.024171,0.027716,0.010958,0.001289,-0.013536,-0.003867
0.13,0,0.747953,2,0.023005,2,0.996493,2,0.580092,2,1.097821,2,0.689384,2,0.866773,2,0.024171,0.029005,0.012891,0.001611,-0.015469,-0.004512
0.14,0,0.927238,2,0.031124,2,1.154323,2,0.64032,2,1.270901,2,0.812821,2,1.022848,2,0.024171,0.027716,0.013858,0.002256,-0.018048,-0.004512
0.15,0,1.018281,2,0.082547,2,1.287395,2,0.694209,2,1.58739,2,0.924613,2,1.204007,2,0.023204,0.027716,0.015792,0.001289,-0.019981,-0.002578
0.16,0,1.114926,2,0.124498,2,1.469982,2,0.808325,2,1.767887,2,1.07134,2,1.421397,2,0.023526,0.026749,0.017725,0.000645,-0.023526,-0.00419
0.17,0,1.266198,2,0.182687,2,1.661854,2,0.874893,2,2.123937,2,1.204093,2,1.658296,2,0.022882,0.027072,0.020948,0.001934,-0.027394,-0.005479
0.18,0,1.459489,2,0.261175,2,1.897051,2,0.97633,2,2.517076,2,1.339175,2,1.914705,2,0.023849,0.027394,0.023204,0.000967,-0.031906,-0.005479
0.19,0,1.718611,2,0.355901,2,2.107491,2,1.134825,2,2.917632,2,1.511522,2,2.120947,2,0.024171,0.028683,0.027394,0.001289,-0.035451,-0.007412
0.2,0,2.023956,2,0.446568,2,2.240563,2,1.325019,2,3.231649,2,1.637288,2,2.2603,2,0.023526,0.028038,0.02965,0.000967,-0.038674,-0.007735
0.21,0,2.281677,2,0.515583,2,2.345782,2,1.702237,2,3.476433,2,1.811963,2,2.341125,2,0.024816,0.027716,0.031906,0.000967,-0.042541,-0.009668
0.22,0,2.418942,2,0.539941,2,2.234373,2,2.035077,2,3.649513,2,1.933071,2,2.21292,2,0.024171,0.028361,0.033195,0.001611,-0.043508,-0.010958
0.23,0,2.390929,2,0.500698,2,2.1601,2,2.320368,2,3.770669,2,2.016915,2,2.179475,2,0.024816,0.028038,0.033517,0.001289,-0.045442,-0.011924
